a11y-profile-manager-indicator	install	0.1.10-0ubuntu3
account-plugin-facebook	install	0.12+16.04.20160126-0ubuntu1
account-plugin-flickr	install	0.12+16.04.20160126-0ubuntu1
account-plugin-google	install	0.12+16.04.20160126-0ubuntu1
accountsservice	install	0.6.40-2ubuntu11.3
acl	install	2.2.52-3
acpi-support	install	0.142
acpid	install	1:2.0.26-1ubuntu2
activity-log-manager	install	0.9.7-0ubuntu23.16.04.1
adduser	install	3.113+nmu3ubuntu4
adium-theme-ubuntu	install	0.3.4-0ubuntu1.1
adwaita-icon-theme	install	3.18.0-2ubuntu3.1
aisleriot	install	1:3.18.2-1ubuntu1
alsa-base	install	1.0.25+dfsg-0ubuntu5
alsa-utils	install	1.1.0-0ubuntu5
amd64-microcode	install	2.20160316.1
anacron	install	2.3-23
ant	install	1.9.6-1ubuntu1
ant-optional	install	1.9.6-1ubuntu1
apg	install	2.2.3.dfsg.1-2ubuntu1
app-install-data	install	15.10
app-install-data-partner	install	16.04
apparmor	install	2.10.95-0ubuntu2.9
appmenu-qt:amd64	install	0.2.7+14.04.20140305-0ubuntu2
appmenu-qt5	install	0.3.0+16.04.20170216-0ubuntu1
apport	install	2.20.1-0ubuntu2.18
apport-gtk	install	2.20.1-0ubuntu2.18
apport-symptoms	install	0.20
appstream	install	0.9.4-1ubuntu3
apt	install	1.2.26
apt-transport-https	install	1.2.26
apt-utils	install	1.2.26
aptdaemon	install	1.1.1+bzr982-0ubuntu14
aptdaemon-data	install	1.1.1+bzr982-0ubuntu14
apturl	install	0.5.2ubuntu11.1
apturl-common	install	0.5.2ubuntu11.1
aspectj	install	1.8.8-1
aspell	install	0.60.7~20110707-3build1
aspell-en	install	7.1-0-1.1
at-spi2-core	install	2.18.3-4ubuntu1
audacity	install	2.1.2-1
audacity-data	install	2.1.2-1
aufs-tools	install	1:3.2+20130722-1.1ubuntu1
autotools-dev	install	20150820.1
avahi-autoipd	install	0.6.32~rc+dfsg-1ubuntu2.2
avahi-daemon	install	0.6.32~rc+dfsg-1ubuntu2.2
avahi-utils	install	0.6.32~rc+dfsg-1ubuntu2.2
bamfdaemon	install	0.5.3~bzr0+16.04.20180209-0ubuntu1
baobab	install	3.18.1-1ubuntu1
base-files	install	9.4ubuntu4.6
base-passwd	install	3.5.39
bash	install	4.3-14ubuntu1.2
bash-completion	install	1:2.1-4.2ubuntu1.1
bc	install	1.06.95-9build1
bind9-host	install	1:9.10.3.dfsg.P4-8ubuntu1.10
binfmt-support	install	2.1.6-1
binutils	install	2.26.1-1ubuntu1~16.04.6
blt	install	2.5.3+dfsg-3
bluez	install	5.37-0ubuntu5.1
bluez-cups	install	5.37-0ubuntu5.1
bluez-obexd	install	5.37-0ubuntu5.1
bmon	install	1:3.8-2build1
branding-ubuntu	install	0.8
bridge-utils	install	1.5-9ubuntu1
brltty	install	5.3.1-2ubuntu2.1
bsdmainutils	install	9.0.6ubuntu3
bsdutils	install	1:2.27.1-6ubuntu3.4
build-essential	install	12.1ubuntu2
busybox-initramfs	install	1:1.22.0-15ubuntu1
busybox-static	install	1:1.22.0-15ubuntu1
byobu	install	5.106-0ubuntu1
bzip2	install	1.0.6-8
bzip2-doc	install	1.0.6-8
ca-certificates	install	20170717~16.04.1
ca-certificates-java	install	20160321ubuntu1
ca-certificates-mono	install	4.2.1.102+dfsg2-7ubuntu4
ccze	install	0.2.1-2ubuntu3
cgroupfs-mount	install	1.2
checkbox-converged	install	1.2.4-0ubuntu1
checkbox-gui	install	1.2.4-0ubuntu1
cheese	install	3.18.1-2ubuntu3
cheese-common	install	3.18.1-2ubuntu3
cli-common	install	0.9+nmu1
cmake	install	3.5.1-1ubuntu3
cmake-data	install	3.5.1-1ubuntu3
cmatrix	install	1.2a-5build2
colord	install	1.2.12-1ubuntu1
colord-data	install	1.2.12-1ubuntu1
comerr-dev	install	2.1-1.42.13-1ubuntu1
command-not-found	install	0.3ubuntu16.04.2
command-not-found-data	install	0.3ubuntu16.04.2
compiz	install	1:0.9.12.3+16.04.20180221-0ubuntu1
compiz-core	install	1:0.9.12.3+16.04.20180221-0ubuntu1
compiz-gnome	install	1:0.9.12.3+16.04.20180221-0ubuntu1
compiz-plugins-default:amd64	install	1:0.9.12.3+16.04.20180221-0ubuntu1
console-setup	install	1.108ubuntu15.3
console-setup-linux	install	1.108ubuntu15.3
containerd	install	0.2.5-0ubuntu1~16.04.1
coreutils	install	8.25-2ubuntu3~16.04
cpio	install	2.11+dfsg-5ubuntu1
cpp	install	4:5.3.1-1ubuntu1
cpp-5	install	5.4.0-6ubuntu1~16.04.9
cracklib-runtime	install	2.9.2-1ubuntu1
crda	install	3.13-1
cron	install	3.0pl1-128ubuntu2
cups	install	2.1.3-4ubuntu0.4
cups-browsed	install	1.8.3-2ubuntu3.4
cups-bsd	install	2.1.3-4ubuntu0.4
cups-client	install	2.1.3-4ubuntu0.4
cups-common	install	2.1.3-4ubuntu0.4
cups-core-drivers	install	2.1.3-4ubuntu0.4
cups-daemon	install	2.1.3-4ubuntu0.4
cups-filters	install	1.8.3-2ubuntu3.4
cups-filters-core-drivers	install	1.8.3-2ubuntu3.4
cups-pk-helper	install	0.2.5-2ubuntu2
cups-ppdc	install	2.1.3-4ubuntu0.4
cups-server-common	install	2.1.3-4ubuntu0.4
curl	install	7.47.0-1ubuntu2.8
dash	install	0.5.8-2.1ubuntu2
dbus	install	1.10.6-1ubuntu3.3
dbus-x11	install	1.10.6-1ubuntu3.3
dc	install	1.06.95-9build1
dconf-cli	install	0.24.0-2
dconf-gsettings-backend:amd64	install	0.24.0-2
dconf-service	install	0.24.0-2
debconf	install	1.5.58ubuntu1
debconf-i18n	install	1.5.58ubuntu1
debhelper	install	9.20160115ubuntu3
debianutils	install	4.7
debugedit	install	4.12.0.1+dfsg1-3build3
default-jdk	install	2:1.8-56ubuntu2
default-jdk-headless	install	2:1.8-56ubuntu2
default-jre	install	2:1.8-56ubuntu2
default-jre-headless	install	2:1.8-56ubuntu2
deja-dup	install	34.2-0ubuntu1.1
desktop-file-utils	install	0.22-1ubuntu5.1
dh-python	install	2.20151103ubuntu1.1
dh-strip-nondeterminism	install	0.015-1
dictionaries-common	install	1.26.3
diffstat	install	1.61-1
diffutils	install	1:3.3-3
dirmngr	install	2.1.11-6ubuntu2
distro-info-data	install	0.28ubuntu0.8
dkms	install	2.2.0.3-2ubuntu11.5
dmidecode	install	3.0-2ubuntu0.1
dmz-cursor-theme	install	0.4.4ubuntu1
dns-root-data	install	2015052300+h+1
dnsmasq-base	install	2.75-1ubuntu0.16.04.4
dnsutils	install	1:9.10.3.dfsg.P4-8ubuntu1.10
doc-base	install	0.10.7
docker-ce	deinstall	17.12.0~ce-0~ubuntu
docker.io	install	1.13.1-0ubuntu1~16.04.2
docutils-common	deinstall	0.12+dfsg-1
dosfstools	install	3.0.28-2ubuntu0.1
dpkg	install	1.18.4ubuntu1.4
dpkg-dev	install	1.18.4ubuntu1.4
e2fslibs:amd64	install	1.42.13-1ubuntu1
e2fsprogs	install	1.42.13-1ubuntu1
eclipse	install	3.8.1-8
eclipse-jdt	install	3.8.1-8
eclipse-pde	install	3.8.1-8
eclipse-platform	install	3.8.1-8
eclipse-platform-data	install	3.8.1-8
eclipse-rcp	install	3.8.1-8
ed	install	1.10-2
efibootmgr	install	0.12-4
eject	install	2.1.5+deb1+cvs20081104-13.1ubuntu0.16.04.1
emacsen-common	install	2.0.8
enchant	install	1.6.0-10.1build2
eog	install	3.18.2-1ubuntu2.1
esound-common	install	0.2.41-11
espeak-data:amd64	install	1.48.04+dfsg-2
ethtool	install	1:4.5-1
evince	install	3.18.2-1ubuntu4.3
evince-common	install	3.18.2-1ubuntu4.3
evolution-data-server	install	3.18.5-1ubuntu1
evolution-data-server-common	install	3.18.5-1ubuntu1
evolution-data-server-online-accounts	install	3.18.5-1ubuntu1
example-content	install	49
fakeroot	install	1.20.2-1ubuntu1
fastjar	install	2:0.98-6
fcrackzip	install	1.0-6
ffmpeg	install	7:2.8.14-0ubuntu0.16.04.1
file	install	1:5.25-2ubuntu1
file-roller	install	3.16.5-0ubuntu1.2
findutils	install	4.6.0+git+20160126-2
firefox	install	60.0.1+build2-0ubuntu0.16.04.1
firefox-locale-en	install	60.0.1+build2-0ubuntu0.16.04.1
flashplugin-installer	install	30.0.0.113ubuntu0.16.04.1
fontconfig	install	2.11.94-0ubuntu1.1
fontconfig-config	install	2.11.94-0ubuntu1.1
fonts-dejavu-core	install	2.35-1
fonts-dejavu-extra	install	2.35-1
fonts-freefont-ttf	install	20120503-4
fonts-guru	install	2:1.2
fonts-guru-extra	install	2.0-3
fonts-kacst	install	2.01+mry-12
fonts-kacst-one	install	5.0+svn11846-7
fonts-khmeros-core	install	5.0-7ubuntu1
fonts-lao	install	0.0.20060226-9
fonts-liberation	install	1.07.4-1
fonts-lklug-sinhala	install	0.6-3
fonts-lohit-guru	install	2.5.3-2
fonts-lyx	install	2.1.4-2
fonts-nanum	install	20140930-1
fonts-noto-cjk	install	1:1.004+repack2-1~ubuntu1
fonts-opensymbol	install	2:102.7+LibO5.1.6~rc2-0ubuntu1~xenial3
fonts-sil-abyssinica	install	1.500-1
fonts-sil-padauk	install	2.80-2
fonts-stix	install	1.1.1-4
fonts-symbola	install	2.59-1
fonts-takao-pgothic	install	003.02.01-9ubuntu3
fonts-thai-tlwg	install	1:0.6.2-2.1
fonts-tibetan-machine	install	1.901b-5
fonts-tlwg-garuda	install	1:0.6.2-2.1
fonts-tlwg-garuda-ttf	install	1:0.6.2-2.1
fonts-tlwg-kinnari	install	1:0.6.2-2.1
fonts-tlwg-kinnari-ttf	install	1:0.6.2-2.1
fonts-tlwg-laksaman	install	1:0.6.2-2.1
fonts-tlwg-laksaman-ttf	install	1:0.6.2-2.1
fonts-tlwg-loma	install	1:0.6.2-2.1
fonts-tlwg-loma-ttf	install	1:0.6.2-2.1
fonts-tlwg-mono	install	1:0.6.2-2.1
fonts-tlwg-mono-ttf	install	1:0.6.2-2.1
fonts-tlwg-norasi	install	1:0.6.2-2.1
fonts-tlwg-norasi-ttf	install	1:0.6.2-2.1
fonts-tlwg-purisa	install	1:0.6.2-2.1
fonts-tlwg-purisa-ttf	install	1:0.6.2-2.1
fonts-tlwg-sawasdee	install	1:0.6.2-2.1
fonts-tlwg-sawasdee-ttf	install	1:0.6.2-2.1
fonts-tlwg-typewriter	install	1:0.6.2-2.1
fonts-tlwg-typewriter-ttf	install	1:0.6.2-2.1
fonts-tlwg-typist	install	1:0.6.2-2.1
fonts-tlwg-typist-ttf	install	1:0.6.2-2.1
fonts-tlwg-typo	install	1:0.6.2-2.1
fonts-tlwg-typo-ttf	install	1:0.6.2-2.1
fonts-tlwg-umpush	install	1:0.6.2-2.1
fonts-tlwg-umpush-ttf	install	1:0.6.2-2.1
fonts-tlwg-waree	install	1:0.6.2-2.1
fonts-tlwg-waree-ttf	install	1:0.6.2-2.1
foomatic-db-compressed-ppds	install	20160212-0ubuntu1
freeglut3:amd64	deinstall	2.8.1-2
freepats	install	20060219-1
freetds-bin	install	0.91-6.1build1
